"HRvalue","ts","HRvalid","SpO2valid","SpO2value"
"93","1680296553234","true","true","99.169194"
"93","1680296680823","true","true","98.794776"
"93","1680296794691","true","true","98.752554"
"93","1680296893713","true","true","99.727416"
"93","1680297178186","true","true","97.990506"
"93","1680297376961","true","true","98.651946"
"93","1680297532797","true","true","99.016626"
"93","1680297575397","true","true","97.11813599999999"
"93","1680297589526","true","true","98.500104"
"'-999","1680296017472","false","false","'-999"
"'-999","1680296031807","false","false","'-999"
"'-999","1680296045937","false","false","'-999"
"'-999","1680296138815","false","false","'-999"
"'-999","1680296281967","false","false","'-999"
"'-999","1680296993350","false","false","'-999"
"'-999","1680297518563","false","false","'-999"
"'-999","1680297561264","false","false","'-999"
"136","1680296425436","true","true","97.3998"
"136","1680296453902","true","true","97.802616"
"136","1680296638326","true","true","98.794776"
"136","1680296879583","true","true","99.824664"
"136","1680297277612","true","true","96.23505"
"136","1680297603736","true","true","96.960936"
"50","1680296439691","true","true","97.3998"
"50","1680296822956","true","true","96.727986"
"71","1680296936619","true","true","98.169384"
"71","1680297348475","true","true","99.0534"
"71","1680297646357","true","true","98.889096"
"214","1680296003339","true","true","97.335786"
"214","1680296595625","true","true","97.990506"
"88","1680296354574","true","true","99.0534"
"88","1680296383041","true","true","99.169194"
"88","1680296510529","true","true","96.486024"
"88","1680296652560","true","true","98.794776"
"88","1680296666691","true","true","96.23505"
"88","1680297064231","true","true","97.990506"
"125","1680296238454","true","true","98.651946"
"125","1680296709494","true","true","98.651946"
"125","1680296837086","true","true","99.169194"
"125","1680297007689","true","true","99.54225"
"125","1680297192313","true","true","99.758856"
"125","1680297220576","true","true","98.928594"
"125","1680297234910","true","true","99.657"
"125","1680297419439","true","true","98.928594"
"125","1680297433571","true","true","98.651946"
"125","1680297719165","true","true","97.184874"
"78","1680297078548","true","true","99.016626"
"78","1680297263380","true","true","98.500104"
"78","1680297334345","true","true","98.33924999999999"
"78","1680297405205","true","true","99.771114"
"35","1680296851221","true","true","98.452434"
"35","1680297689694","true","true","99.345144"
"37","1680297461936","true","true","96.960936"
"37","1680297618005","true","true","96.486024"
"51","1680296964984","true","true","98.752554"
"51","1680297660593","true","true","99.0534"
"107","1680296167746","true","true","99.855786"
"107","1680296210188","true","true","98.500104"
"107","1680296312180","true","true","98.651946"
"107","1680296326311","true","true","99.0534"
"107","1680296468138","true","true","97.605714"
"107","1680296723730","true","true","98.651946"
"107","1680297035948","true","true","96.727986"
"107","1680297249208","true","true","97.802616"
"83","1680296609760","true","true","99.59255399999999"
"83","1680296950750","true","true","99.169194"